komentar,sentiment
lebih utama kuliah puas kelas nya asik ekspres,positif
kuliah jaring komputer puas materi dosen materi detail kata2 sampai,positif
giat praktikum seru kenal ingat paham alat bahan ajar,positif
materi kuliah mudah paham,positif
jelas materi hrm mudah paham,positif
ajar media interaktif praktek langsung jaring komputer kelompok teman kelas,positif
penyampain materi hrm mudah paham,positif
ajar praktikum matakuliah mantap ajar ajar diskus kelompok tukar pikir sudut pandang pikran luas,positif
jelas subbab mudah paham orang awam ajar jaring komputer,positif
dosen ucap penyampaianya seginga mudah cerna,positif
tugas matang paham materi beri,positif
suka ajar bosan suasana kelas hidup materi rinci mudah paham,positif
kuliah senang bosan materi paham,positif
kuliah langsung kelas seru aktif dosen darui mahasiswa,positif
hrm terang luwes kaku mudah paham,positif
interaksi kuliah interaktif inovasi ajar agam kuliah bosan,positif
akses tahu dalam interaksi dosen teman kelas,positif
masuk materi inti dosen gambar telebih mahasiswa tau ajar bantu mahasiswa ajar,positif
kuliah lumayan puas kuliah teori praktek,positif
1 komunikasi interaktif 2 presentasi tarik,positif
lebih teori praktek selaras teori karna praktikum,positif
gambar mudah paham materi,positif
hrm materi detail lumayan mudah erti,positif
dosen udah gambar kuliah  mudah paham,positif
puas metode ajar belit belit detail jelas mudah paham ajar nya arah ajak,positif
materi mudah paham jelas mudah tangkap,positif
puas matkul ini lulus tkj ikut kuliah nyaman,positif
saya lebih utama kuliah puas sempat ajar kembang,positif
praktikum karna praktikum sy paham materi mudah,positif
metode ajar variatif diskusi games kuis praktikum bosan ajar beri interaktif antuk,positif
suka dang metode ajar dosen presentasi paham materi ajar,positif
dosen keren,positif
ketat tugas sampai materi reng prektik,positif
mata kuliah manfaat jaring komputer matkul tarik saya sistem peng abaenannya unik meminimalisir curang masuk kuliah,positif
mmmmm absensi model ttd tugas tulis kesan beda matkul,positif
beri materi dosen jelas teori praktikum mudah paham materi,positif
jelas runtut bahasa mudah paham,positif
jelas mudah paham penting paham mahasiswa,positif
puas mudah paham  materi,positif
tugas tugas dukung paham materi,positif
mudah paham jelas ajar teori seru praktikum,positif
tugas  lop banget sampai santai jelas materi mudah serap,positif
praktek langsung mudah paham,positif
metode tatap muka kelompok aktivitas kelas lbh hidup,positif
lebih matkul teori rasa puas paktiknya rasa puas,negatif
ajar senang santai tegang,positif
dosen ajar nya materi,positif
metode pembelajaranya mudah paham,positif
lebih utama kuliah metode ajar interaktif,positif
materi rinci mudah paham,positif
lebih utama kuliah ajar hrm friendly senang kuliah butuh,positif
ya puas lebih kuliah ini dosen ajar ajak mahasiswa sehingga mahasiswa paham materi dosen,positif
puas ajar teori matkul jaring komputer mudah paham bosan 9 10,positif
kuliah puas   metode bagus,positif
lebih utama kuliah rasa puas ilmu baru wawas luas,positif
gantung nikmat engga lumayan suka kuliah,positif
kuliah muas praktikum,positif
kuliah boring segi sampai materi mudah paham konsep interaktif juga quiz kelas warna beda banding matkul lain vibesnya kaya bener bener kuliah,positif
dosen enak d negosiasi d ajak konpromi,positif
materi bobot,positif
asik sihh penuh coding pikir mandiri tantang,positif
bagus kuliah tingkat skill mahasiswa ajar ilmu hrm,positif
praktikum langsung base on project jadi kuliah seru aplikasi real life,positif
lebih kuliah semester jam kuliah sesuai,positif
saya lebih utama kuliah santai kuliah jalan mahasiswa tekan,positif
lebih utama kuliah sistem bagi kelompok mahasiswa bantu selesai tugas dosen,positif
ajar nyantai tugas banget aga susah mahasiswa tekan bahas materi contoh kerja,positif
dosen materi mahasiswa erik tugas diskusi praktikum presentasi,positif
ajar bahan canda isi materi bosan,positif
kuliah matakuliah tuntut creative kembang sistem,positif
kuliah santai materi terima baik tekan mahasiswa,positif
lebih utama kuliah mata kuliah sistem paralel distribusi pandu ajar runtut nol project akhir jadi mahasiswa kewalahan ikut ajar mahasiswa ajar nol,positif
lebih utama kuliah metode ajar efektif,positif
materi ajar bobot arah metode ajar tata ,positif
saya puas karena ajar tahu,positif
puas karena ajar codingan,positif
kuliah nyaman paham materi diberika hrm tugas memberika video ajar,positif
jadi codingan hasil proyek baru,positif
dosen jarang berangkat tugas nya banyak suka lompok,negatif
matakuliah lebih dar tahu teori praktik langsung tiap materi paham kompleks nya praktik langsung segi teori segi praktik juga lebih utama puas matakuliah sitem paralel distribusi,positif
dosen ttg materi kali serta video ajar yg tonton mhs ulang kali tugas yg relevan kpd mhs individu kelompok,positif
kuliah sistem paralel terdistibusi lebih ajar kerjasama tim socket pecah masalah,positif
hrm jelasinnya santai materi,positif
kuliah materi praktikum iring mudah paham,positif
sampai materi dosen degan rinci lumayan paham,positif
lebih utama puas kuliah sampai materi mudah paham contoh praktek paham materi sebut,positif
ajar program socket,positif
jelas kuliah paham materi materi mudah paham mudah tugas tugas,positif
kuliah program target capai temu periode semester,positif
lebih kuliah puas,positif
lebih mudah paham mahasiswa bingung ajar,positif
lebih utama kuliah puas,positif
lebih matakuliah praktikum langsung mahasiswa mudah paham materi,positif
kuliah mudah jelas dosen,positif
materi struktur presentasi kelas,positif
aaya kuliah lebih materi tugas tentu,positif
fleksibel tugas kuliah,positif
lebih tugas bobot daat tingkat skill wawas sistem distribusi pararel,positif
mahasiswa ajar giat mereview materi ajar,positif
mahasiswa komunikasi paham proses ajar,positif
materi kuliah relevan dunia kerja interaksi mahasiswa aktif,positif
jelas projek nya tugas,positif
kuliah rasa mudah paham materi ajar sulit imbang teman,positif
ajar mudah paham tambah tugas rumah kasih tutorial pengerjaanya,positif
jelas enak mudah paham faham sedia video diyoutube,positif
lebih kuliah dosen selesai kuliah waktu tutorial,positif
yg fasilitas pada gedung nyaman layar proyektor lengkap dosen rajin profesional oleh teman hebat prestasi khoirul adib beasiswa amerika serikat,positif
materi kuliah lumayan paham paham pribadi butuh tangkap materi,positif
kuliah materi serta praktek tingkat paham mahasiswa materi sistem paralel distribusi,positif
detail seluk beluk kerja aplikasi milik user proses jalan atas,positif
kuliah puas project kasih deadline mepet aktif semangat ajar selesai tugas sebut,positif
lebih mata kuliah sister ajar materi struktur materi materi lompat mahasiswa nyaman ajar secra kbm ajar,positif
materi ikut langsung terap praktek mahasiswa paham cerna materi,positif
materi tarik proses ajar tarik,positif
lebih utama tau kuliah,positif
kuliah puas longgar paham materi kuliah,positif
dosen nya santai nya tal mudah paham,positif
tantang source code uji baik error terkadang pusing tugas,positif
jelas materi paham saya materi mengkases materi lelbih spesifik sumber rekomemdasikan,positif
lebih utama ajar pacu materi imbang materi rasa,positif
kuliah materi tugas tiap materi mahasiswa aktif paham,positif
proses ajar arah mana mahasiswa praktekk langsung evaluasi dosen ampu dosen materi arah,positif
lebih utama kuliah puas dosen materi dangat rinci dengam mudah paham dosen serius enjoy materi suasana kelas tegang,positif
kuliah ini sistem paralel jelas mudah paham laprak laprak paham mata kuliah nya,positif
kuliah mudah paham jasa dosen masuk mahasiswa,positif
tau teknik ajar teknik,positif
dasar pemrograman mata kuliah milik fokus bidang tambah skill materi salah mata kuliah langsung praktek,positif
mata kuliah dasar pemrograman teknik informasi,positif
paham ling praktek,positif
ajar jaring,positif
tau ilmu ilmu fiqihv karena sejati ilmu fiqih atur hidup,positif
praktikum,positif
kosong,negatif
relevansi kembang teknologi sistem distribusi kembang teknologi informasi ini komputasi awan internet of things iot komputasi bas jaring mata kuliah paham kuat konsep dasar teknologi sebut,positif
ajar sistem paralel distribusi spesifik serta praktik erti,positif
enjoy eksplor ajar santai kelompok tugas tarik,positif
kuliah santai beban enjoy,positif
tambah ilmu wawas mahasiswa haus ilmu,positif
ajar materi detail mudah paham kait materi,positif
tugas kelompok bantu mahasiswa selesai,positif
tugas struktur deadline fleksibel,positif
habis materi slalu project praktik efektif,positif
sistem ajar tarik monoton sistem ajar mahasiswa praktek jadi kompak bangun tim,positif
ajar logic interaksi server user lingkung aplikasi,positif
ajar robotika,positif
sempat paham mata kuliah sistem paralel distribusi,positif
sampai teori mudah paham,positif
dosen materi presentasi kelompok game engine,positif
mata kuliah lebih utama kuliah sistem paralel distribusi terap praktis terap aktivitas manusia,positif
jelas materi mudah paham mahasiswa,positif
mata kuliah perangkat spek,positif
lebih matkul senang ajar tsb tarik materi yg hrm mahasiswa ajar yg terang,positif
ajar blom ajar,positif
lebih utama kuliah ajar tambah tahu koneksi jaring pemrograman java netbens,positif
lebih utama kuliah aplikasi hubung,positif
lebih utama kuliah ajar matkul senang mudah paham,positif
tambah ilmu tahu hubung komputer jaring distribusi pesan,positif
tugas tugas matkul ajar tingkat skill pemrograman,positif
tambah wawas tetang pemograman,positif
dosen ramah materi mudah paham mahasiswa lain jam jarang tidur,positif
dosen paham hidup suasana kelas,positif
paham mata kuliah robitika,positif
isi kuliah jelas mahasiswa paham mata kuliah bagi mahasiswa yg asing bagi tentu,positif
puas kuliah asik senang teman ajar,positif
praktikum,positif
mata kuliah ddp dasar ajar teknologi informasi,positif
dosen rinci materi bawa kuasa materi,positif
dosen mudah paham,positif
dosen jelas serta praktikum paham materi,positif
puas kuliah offline puas dosen matkulnya paham mahasiswa,positif
paham materi kuliah,negatif
terkadang bahasa erti,negatif
kurang sisi jadwal kuliah jam siang fokus buyar,negatif
ajar mahasiswa bingung,negatif
kuliah kurang meggunakan absensi manual curang,negatif
metode paham materi,negatif
praktikum nya nyaman fasilitas,negatif
terkadang kuliah lambat jelas materi kurang,negatif
ajar cepat orang milik sulit tangkap jelas sulit,negatif
kurang nya sih boring icebreaking serius tpi tdk giat ajar ganggu latih fokus kita kalo fokus faham tetapi ya tanggung,negatif
materi teori praktikum terkadang beda lupa jelas,negatif
kuliah kurang bagi pemberitahuan dadak asdos depan bsa lagi,negatif
gesa gesa sampai materi,negatif
evaluasi praktikum mahasiswa tidak praktikum,negatif
kurang kuliah hrm jelas bahasa paham mahasiswa,negatif
materi ppt jelas paham,negatif
kelompok dadak quiz dadak efektif materi uji kadang ajar ulang,negatif
minim alat praktikum batas banyak mahasiswa beli ganti giat praktikum langsung,negatif
langsung kasih tugas selesai sebenernya gapapa dadak hehe,negatif
jam ajar cenderung dikit matkul jelas kadang,negatif
kuliah teori nyaman kurang materi langsung share whatsapp group e-learning mahasiswa kuis kes ajar dada praktikum asisten dosen ajar nyaman jadwal tentu ubah mau sks 2 jad 4 rinci ribet ganti evaluasi hehe,negatif
kurang jelas evaluasi hasil praktikum,negatif
kompak mahasiswa alangkah baik siswa milik potensi suka bagi ilmu teman nya kuliah saing cari nilai tinggi  sd smp  sma,negatif
materi dekat mahasiswa,negatif
 modul lapor nya ambil ttd  sulit,negatif
fasilitas bilang akurat ajar dasar jaring komputer,negatif
kurang materi yg cepat,negatif
jujur kurang dampak signifikan sedia hrm hadir kuliah maklum paham sibuk beliau,negatif
temu kurang kuliah temu presensi hadir beda,negatif
kurang rasa,negatif
terkadang kurang antusiasme mahasiswa presentasi dosen kait materi sulit paham,negatif
materi matkulnya guna bahasa bahasa jarang lumayan butuh effort paham,negatif
lebih materi ajar tambah wawas,negatif
kurang bahasa asing dengar istilah istilah,negatif
istilah hambat paham praktikum masuk telat kelas molor praktikun cukup,negatif
terkadang jelas materi lompat jauh ramah mula paham overall mas paham,negatif
materi ppt garis perinci,negatif
jelas kadang cepat sehingga tinggal paham,negatif
matkulnya susah orang awam basic tahu jaring komputer terkadang dosen interaksi orang orang udah basic materi itu jdi orang awam ken tahu ga ngerti bahas dosen mahasiswa udah jago duluan,negatif
kurang utama kuliah puas paham materi,negatif
kurang kuliah jaring komputer tugas,negatif
jelas cepat tinggal bahas jelas,negatif
kuliah praktikum seringkali selesai mepet laksana shalat jumat,negatif
tugas gapapa bantu materi paham lagi,negatif
kurang mata kuliah semester,negatif
nya  materi terkadang selesai bahas,negatif
jam ajar siang mahasiswa malas antuk ajar fokus modul materi teman terkadang keluh karna lumayan sulit paham perhati tidak,negatif
lingkup jaring komputer luas ajar sulit ajar nya cepat detail,negatif
semester temu kurang colok kuliah,negatif
tugas kelompok praktikum kondusif mepet,negatif
terkadang sampai materi cepat susah paham tinggal,negatif
paham materi perhati individu nyaa,negatif
terkadang paham materi beri jelas cepat paham,negatif
tugas jam matkulnya jaring komunikasi tau,negatif
batas jelas cepat kendala paham materi,negatif
gantung konteks alam individu,negatif
tugas lebih,negatif
kurang kuliah praktikum segi,negatif
1 kurang hadir,negatif
kurang kuliah praktikum terkadang ketimbang teori,negatif
materi gak langsung share kadang ragu karna bahasa asing,negatif
materi kadang cepat tugas nya dateng minggu syarat yg alhamdulillah detail,negatif
tangkap paham metode ajar duduk temu 1-6 terkadang asik main handphone paham gimana gitu beda hal pas temu 7 suruh kelompok duduk bareng2 kesan enak senang,negatif
kalo kurang temu nya kuliah waktu siang ruang lantai 4 lelah gitu,negatif
jadwal masuk praktikum kes niat,negatif
mohon maaf puas asisten dosen kuliah tunda waktu,negatif
saya kurang utama kuliah puas kurang relevansi dunia kerja,negatif
paham teori praktikum karna terkadang materi praktikum beda,negatif
praktikum nya yg beda beda jadwal beda materi asdos kendala kait matkul praktikum,negatif
global ada laptop cakap matkul,negatif
asdosnya disiplin,negatif
jam praktikum lambat jam kuliah kabar libur ajar,negatif
kurang kuliah praktikum saja asdos enak nya suka sepele jam pagi semangat kuliah malas asdos konsisten,negatif
kurang puas praktikum tata,negatif
kurang mas rasa praktikum karna kali masuk tabrak tnggal merah,negatif
kuliah praktikum gk masuk,negatif
ajar siang jelang sore jam nya istirahat mudah ngantuk fokus,negatif
jam segitu jam rawan ngantuk,negatif
asdos disiplin,negatif
praktikum assisten dosen nya tidak tanggung bicara saat mahasiswa niat rumah khianat,negatif
praktikum jalan sistematis asisten dosen telat ganti jam sore eh gilir udah brangkat gajadi karna rj45 nya habis  minggu ulang lagi udh ditungguin 1 jam lab brangkat buru buru ga sempet sarap trnyata jam ganti sore  btw nyaman jg lab nya,negatif
teori praktikum wadah kurang materi,negatif
kurang matkuk praktikum jarkom yg kadang jarang masuk,negatif
kurang segi fasilitas nya praktik,negatif
jelas paham,negatif
rambat asisten bimbing matkul praktikum kali kali puas ajar sebut,negatif
ubah jadwal yg dadak konfirmasi praktikum,negatif
ada metode ajar bagus penyampain ajar golong praktis,negatif
praktikum kondisi kelas atur efektif terkadang,negatif
kuliah nyaman praktikum keluh mahasiswa asisten dosen,negatif
1 sampai parktikum cepat mahasiswa paham paksa materi,negatif
tugas matkul praktikum jaring komputer kes sulit,negatif
kurang matkul praktikum mas bayu lambat maangganti ,negatif
kurang utama kuliah puas bagi semangat dal bekajar,negatif
arah praktikum asisten dosen ikut atur dosenya,negatif
paktikumnya asisten olah peduli bilang sendiri ken libur ya libur masuk ya masuk anak anak berangkat bilang itu wakil kelas abar,negatif
matkul praktikum asisten dosen profesional jam matkul,negatif
praktikum jam kelas c kurang,negatif
terkadang presentasi,negatif
kurang karena sihh emang dasar ngerti codingan banget,negatif
tingkat praktikum mahasiswa mahasiswa praktikum,negatif
kurang materi kuliah sempit efesien,negatif
arang pindah kelas sulit cari ruang kelas kosong,negatif
kurang dosen masuk waktu kurang paham padat jadwal dosen,negatif
kurang kuliah imbang presentasi papar materi dosen ampu,negatif
kurang tugas lumayan susah ajar kadang hadir,negatif
kuliah mta kuliah dister muas pribadi kurang dosen ampu hadir kelas kota ,negatif
materi banyak pptnya langsung praktik bingung paham materi,negatif
kuliah mata kuliah dosen jelas praktik langsung codenya,negatif
kadang tugas lumayan beban,negatif
kurang matakuliah tugas susah faktor sebab nya materi semester implementasi kerja tugas akhir,negatif
kurang kuliah kurang jelas materi,negatif
sibuk dosen masuk ganti asdos temu maksimal,negatif
kurang utama kuliah materi sulit paham butuh proses kuasa materi,negatif
terkadang sisi teman nyaman,negatif
kurang kuliah kurang jelas tutup video ajar,negatif
kurang utama kuliah kurang,negatif
jelas nya paham ringkas tugas,negatif
kurang matkul tugas berat,negatif
kali masuk kelas tinggal ajar effort utk ajar materi yg sulit mandiri,negatif
kurang simpul paham mata kuliah rumit kuliah banding bobot mata kuliah masalah kompleks,negatif
kali jam kosong materi,negatif
adakalanya dosen hadir waktu kuliah materi tinggal,negatif
sub bab materi terkadang paham erti,negatif
kurang kuliah terkadang hadir lupa informasi jadwal kuliah,negatif
kurang kuliah tepat dosen tugas online dalam kelas,negatif
kuliah tugas susah,negatif
kuliah program target kadangkala dosen masuk kuliah program kuliah ubah,negatif
kurang kuliah jam praktikum praktikum rumah terkadang mager praktikum rumah,negatif
kurang detail target mahasiswa depan nya,negatif
kurang utama kuliah puas praktikkum rumah terkadang bingung,negatif
kurang matakuliah kurang jelas kode pemrograman dosen,negatif
kuliah kurang jelas coding dasar bahasa,negatif
terkadang jam kosong telat diberitahukan jam kosong rugi mahasiswa pengaruh tugas presentasi,negatif
umum libur dadak mahasiswa tunggu jam sore energi ajar tinggal sedikit,negatif
memberitahun kelas dadak tugas materi yg paham,negatif
kurang jam ganti dosen masuk minimal preview materi mahasiswa next temu bahas,negatif
saya bagi kelompok tugas project rata mata kuliah praktikum,negatif
kadang materi cerna mahasiswa,negatif
tugas kuliah kurang materi,negatif
bannyaknya mahasiswa erti sehing projek kelompok gantung salahsatu mhasiswa,negatif
kuliah praktikum alami sulit ajar sulit pecah,negatif
ikut mahasiswa paham bahasa guna syntax,negatif
perkulihannya malam mahasiswa capek ngantuk,negatif
kurang kuliah temu dosen masuk giat kampus,negatif
kurang nya jadwal kuliah lambat informasi terima mahasiswa kait libur nya kuliah sebut bersih perhati ibadah wudhu ikhwan akhwat pisah dosen sabar mahasiswa faham dosen adil ajar mahasiswa mampu mahasiswa beda beda,negatif
kurang kuliah pribadi cepat tangkap materi langsung paham materi,negatif
jadwal kuliah laksana sore mana serta konsentrasi ikut kuliah kelas,negatif
materi kompleks rumit temu kosong durasi kuliah singkat sore kurang materi maksimal materi sampai,negatif
kurang kuliah libur dosen materi dapat,negatif
kurang mata kuliah sister hrm kali dinas kelas isi tugas grup bilang kasih tugas,negatif
terkadang sampai materi cepat mahasiswa gambar,negatif
kuliah pasti kadang ubah ubah sesuai jadwal,negatif
perkuliahane aman nya aja kadang kurang paham matkul nya,negatif
kuliah paham materi,negatif
kurang kualitas ajar metode ajar efektif dosen materi baik kurang libat dosen proses ajar  beban kerja,negatif
tugas temu tugas terkadang selesai napas lega pikir tugas selainjutnya tugas susah,negatif
temu lewat proses ajar lambat kadang materi dishare mahasiswa luar jam ajar,negatif
puas kuliah suruh ajar mandiri paham materi asal web sulit paham materi langsung,negatif
kurang kuliah kosong ajar kuliah,negatif
dasar mata kuliah maksimal materi post mata kuliah,negatif
kurang kuliah puas terkadang materi cari ajar dosen terkadang praktik pusing karna eror cari alas eror dsb,negatif
kurang info jam kosong kelas info dadak,negatif
jam sore efektif karna jarak matkul,negatif
sulit mudah fahami mata kuliah,negatif
mata kuliah dasar pemrograman fokus utama prodi teknologi informasi mata kuliah mik sks yng bilang mata kuliah asli teknologi informasi,negatif
dosen ampu mapel cepat kiprah teknologi informasi sulit paham materi,negatif
ikut ajar milik ilmu dasar,negatif
kurang sks,negatif
mahasiswa makalah,negatif
beri materi kes lambat,negatif
kosong jarang materi masuk,negatif
jam mata kuliah sore sebab rentan konsentrasi,negatif
mata kuliah mata kuliah  praktikan dunia kerja,negatif
,positif
matkul sore terkadang fokus perhati,negatif
kurang jam sore pak kalo sore lapar ngantuk,negatif
kurang dasar jadwal ajar kadang ubah sesuai jadwal,negatif
minggu jarang masuk materi,negatif
jam kosong,negatif
jam kosong,negatif
jam kuliah terkadang molor mundur jadwal asli,negatif
logic kompleks terkadang bingung mahasiswa paham,negatif
sarana,positif
bebrapa bom paham kait coding,negatif
contoh terima mata kuliah codingannya,negatif
suka ngelawak garing awkward apalagi depan,negatif
kurang utama kuliah sistem paralel distribusi kompleksitas materi kadang erti,negatif
libur suruh ajar mandiri mahasiswa terkadang alami kendala bingung materi,negatif
mata kuliah kosong temu,negatif
kurang nya yg ikut materi nya ajar saat kerja kelompok,negatif
,positif
kurang utama kuliah kuliah sore maksimal jam jam rawan ngantuk,negatif
kurang kuliah kuliah laksana sore,negatif
kurang utama kuliah puas,negatif
kurang kuliah kuliah sore jadi maksimal jeda mata kuliah pagi sore buru2 giat kampus,negatif
baik dosen hadir materi roadmap rps dikirm elearning grup wa tugas ajar materi,negatif
kurang mata kuliah saya kuliah sore jangka matkul lumayan lama mahasiswa ikut mata kuliah mudah lelah kasihan rumah nya kampus rumah malam karena teman berangkat bis brt,negatif
jujur kurang tepat fleksibel mahasiswa tunggu,negatif
alhamdulillah semester banyak tugas kelompok beban puas,negatif
kurang fasilitas ruang kelas ga kursi meja bahan alat praktik matkul robotika,negatif
kurang mata kuliah bawa smk erti,negatif
kurang utama kuliah ma had ganggu giat ajar ma had,negatif
bingung beda perintah bahasa pemrograman,negatif
dosen ampu mata kuliah cepat materi paham sepenuh materi,negatif
ada murid tampung bahasa mudah erti,positif
tugas harus kerja malam mahad,negatif
kurang,positif
puas dosen matkulnya singkat paham mahasiswa cuman anak,negatif
mudah paham,positif
mudah paham erti mem praktek ajar,positif
senang masuk kelas ajar monoton,positif
metode ajar kuliah,positif
metode ajar baik teori diptaktekan teori suka tugas tulis tulis paham teori,positif
ajar teori kurang ilustrasi,negatif
metode ajar nya ya okh samping materi praktikum nya jadi mahasiswa paham,positif
metode ajar baik hanya cepat tinggal sub pembahasanan,negatif
metode ajar mudah paham tele tele,positif
metode ajar kuliah tarik interaksi mhsnya mahasiswa dapat asah mahasiswa nya berfikir kritis bpk dosen baik suka kuliah ini,positif
puas suka mata kuliah teori praktikum semester teori langsung dosen alangkah baik jadwal kuliah langsung juga masuk,negatif
metode pekulihan efektif jelas materi jelas beri contoh nyata praktikum mudah paham,positif
metode bosan kuliah,positif
bantu proses ajar  lamgsung praktek lapang tau materi bahas kerja,positif
suka metode ajar kuliah quiz info minimal hari hehee,positif
metode baik sampai materi ringkas cepat paham,positif
metode ajar bagus efektif samping papar materi quiz diskusi kelompok monoton,positif
materi saji sub bab mudah tangkap paham,positif
alhamdulillah aman kendala sulit ikut,positif
bagus dlu dosen terkadang diskusi kelompok,positif
metode matkul teori mudah paham power point tampil ajar mahasiwa informasi ppt ringkas cakup semua papar ppt mahasiswa paham rinci,positif
metode kuliah efektif kuliah metode ajar teori praktek mahasiswa implementasi teori yg praktikum,positif
metode ajar bagus dosen nya mamaksaan materi selesai biar materi nya mahasiswa mudah paham nya,positif
bantu asisten bantu praktikum kami terkadang asisten telat lebih,negatif
bagus  rana materi langsung praktek materi nya ,positif
bagus mahasiswa paham materi seksama diskusi materi ajar,positif
metode kuliah bagus mudah paham,positif
suka bantu metode yg guna worth it duduk dengar aktif diskus ilmu insyaallah banyak,positif
bagus beda dosen presensi hadir kuliah,positif
metode ajar suasana kelas santai mudah paham dosen lalu ajar komunikatif ajak diskus dengar,positif
diskusi kelompok mudah mahasiswa ajar dapat ekspres,positif
lumayan bagus dosen tau materi layer nggak susah sih effort paham,positif
metode efektif media ppt poin materi,positif
baik mudah erti orang batu ajar,positif
metode ajar baik ajar review materi ajar ada quiz,positif
klo lumayan efektif tugas tugas jadi buka materi matkul ini,positif
bagus mudah paham bagi kelompok tambah aktif mahasiswa,positif
metode interaksi dekat mahasiswa langsung,positif
tuju metode paham kadang metode variatif bikin ngantuk,positif
metode ajar kuliah bagus,positif
metode ajar bagus dosen point rinci detail,positif
efektif kait presentasi spontan asah public speaking mahasiswa,positif
tarik mudah paham materi dosen,positif
suka metode ajar hrm senang bosan,positif
metode ajar interaktif kelompok langsung teman efektif tuntut ajar materi presentasi batas,positif
metode ajar hrm mata kuliah jaring komputer bilang lumayan sulit bimbing langsung dosen nya,positif
lumayan bagus ada diskusi kelompok kelas praktek alangkah materi fokus modul ajar tambah menggunaka jelas vidio aga langsung mudah paham,positif
ajar mudah paham luas wawas jaring komputer,positif
bagus dosen serius analogi mudah erti,positif
efektif media interaktif gambar materi ajar,negatif
metode ajar interaksi mahasiswa,positif
metode ajar senang variatif materi mudah paham antuk,positif
bantu kuliah bosan diskusi kelompok kuis,positif
metode efisien alangkah baik jam praktikum tambah,positif
variatif interaktif mahasiswa dosen mahasiswa,positif
metode ajar variasi interaktif tekan paham konsep terap praktis,positif
ajar dosen jelas kait materi,positif
kuliah metode ajar metode blended learning,positif
rentang  temu 1 - 8 1 komunikasi dosen mahasiswa interaktif 2 presentasi bawa tarik 3 metode studi kelompok mahasiswa ajar real-time tarik,positif
metode efesien paham materi praktikum,positif
baik bosan enjoy ikut mata kuliah,positif
nikmat paham suka kecepetan,positif
pribadi suka metode ajar temu 7 sifat sama,positif
metode ajar bagus dosen ajar senyum komunikasi ajar sendiri pribadi akan paham,positif
mudah paham bosan,positif
beban metode kuliah basic jaring,positif
umum metode ajar kuliah variatif inovatif,positif
alangkah matkul praktikum ajar langsung hrm ,positif
baik atas metode ajar susah bangun interaktif kelas teman diem bolos rajin kuliah,positif
bagus terkadang fokus lupa hehe,positif
suka metode ajar terap matkul ini tekan mahasiswa,positif
baik sampai materi praktik tugas ketat mahasiswa aktif ajar tugas,positif
dapat metode ajar mata kuliah mata kuliah,positif
lumayan tarik tau yaa tarik gtau alas,positif
teori langsung dosen puas interaksi alami komunikasi 2 arah taya,positif
senang mahasiswa tuntut aktif kuliah kuis praktek langsung,positif
tarik quiz kemarin bukti paham mahasiswa paham materi dosen praktikum nya efisien arah asisten dosen kes gesa asdos nya kalo ga masuk ga ngasih kabar yg abar tunggu kelas,positif
alhamdulillah mudah paham,positif
bagus tunjang paham kait materi,positif
minus nomer 2,positif
rate 9 10 mudah paham mantap,positif
,positif
quiz acu paham,positif
metode ajar ajar hrm paham mudah cerna,positif
metode ajar baik belit belit,positif
teori paham fokus dengar dosen bicara gampang erti kalo praktik langsung situ usaha coba nya gampang saya,positif
