komentar;sentiment
Pada perkuliahan ini  dengan adanya teori dan praktikum  saya diberikan kesempatan untuk mengembangkan apa yang telah di dapat. ;positif
saya suka dari cara penyampaian materi dosen nya karena mudah dipahami dan mengajarkan materi sedikit demi sedikit yang pasti lebih mudah dipahami daripada banyak materi tapi mahasiswa nya banyak yang kurang paham ;positif
lumayan mengerti dengan materi karena penjelasannya yang sudah jelas dan mudah dipahami;positif
 Bisa berlatih menulis laporan nya dan meninjau pelajaran juga;positif
Menurut saya  kelebihan utama dalam perkuliahan matkul jarkom ini yang membuat saya merasa puas adalah kemampuan untuk mempelajari tentang teknologi di bidang jaringan & komputer ;positif
Iya Menurut saya kelebihan untuk perkuliahan ini saya merasa puas ;positif
Saya suka dengan cara penyampaian materi oleh pak Hery  singkat  padat  namun sangat jelas dan sangat mudah dipahami. Tidak bertele-tele  tidak hanya materi saja  tapi ada praktik langsung. Jadi pembelajaran terjadi secara dua arah  bukan hanya satu arah. ;positif
Dapat menjelaskan dengan detail dan dapat dipahami dalam perkuliahan ini;positif
Dosen selalu memberikan Brinstroming dan memberikan contoh dari materi secara sederhana serta memberikan soal dari yang sudah dijelaskan. ;positif
Mengetahui bagaimana proses dari transfer data  cara mendefinisikan  menjelaskan  serta menganalisis sebuah jaringan;positif
Cara dosen menjelaskan dibagi per layer jadi lebih enak dalam menerima materi;positif
menurut saya dalam perkuliahan ini sangat baik untuk penjelasan setiap materi yang diajarkan;positif
Materinya baru yang membuat saya merasa terpacu atau tertarik mempelajari materi tersebut ;positif
pemaparan materi jelas dan tidak bertele-tele  perkuliahan juga interaktif sehingga mhs tidak mudah bosan;positif
Penjelasan tentang materi yang disertakan dengan contoh membuat saya lebih paham dengan matkul ini. Tidak hanya teori teori saja yang jika dibaca ulang ulang tanpa adanya praktik/contohnya hanya membuat pusing.;positif
Menurut saya didalam perkuliahan ini apa yang diajar dosen sangat mudah dipahami;positif
adanya interaksi yang baik antar dosen dan mahasiswa serta penjelasannya cukup baik;positif
Bisa berinteraksi dengan dosen  menemukan kunci pemahaman sebuah konsep dasar dari materi tersebut  jadinya apabila ada yang berargumen tidak kebingungan lagi  memahami materi dengan jelas. ;positif
menurut saya yang menjadi kelebihan utama dalam perkuliahan ini yang membuat saya merasa puas adalah kelas nya lebih asik dan berekspresi ;positif
Sebenarnya dalam perkuliahan jaringan komputer saya cukup puas karena pemateri atau dosen menjelaskan materi secara detail akan tetapi kata2 dalam penyampaian kurang jelas;positif
kegiatan praktikumnya seru jadi lebih mengenal  ingat  dan paham alat bahan yang dipelajari;positif
Materi yang diberikan saat perkuliahan cukup mudah untuk dipahami saya;positif
Menurut saya penjelasan materi yang diberikan pak hery cukup jelas dan mudah dipahami.;positif
ada pembelajaran yang medianya interaktif seperti praktek langsung bagaimana cara jaringan komputer bekerja dengan berkelompok dengan teman sekelas;positif
cara penyampain materi yang di berikan oleh pak Hery cukup baik dan mudah dipahami ;positif
adanya pembelajaran praktikum yang dapat di matakuliah ini sehingga memantapkan pembelajaran. Serta adanya cara belajar dengan berdiskusi kelompok sehingga bisa saling bertukar pikiran dan sudut pandang pikran menjadi lebih luas.;positif
Penjelasan tiap subbab mudah dipahami bagi orang awam yang baru belajar tentang jaringan komputer;positif
cara dosen menjelaskan sangat baik dan jelas serta tegas dalam pengucapan/penyampaianya seginga mudah dicerna;positif
Banyak tugas sehingga lebih mematangkan pemahaman terhadap materi yang diberikan.;positif
Saya suka cara mengajar yang tidak membosankan  membuat suasana kelas hidup  dan menjelaskan materi dengan rinci dan mudah dipahami;positif
Perkuliahan terasa menyenangkan dan tidak membosankan sehingga materi akan lebih bisa di pahami;positif
Saat perkuliahan berlangsung  keadaan kelas seru dan aktif baik dari dosen maupun darui mahasiswa ;positif
cara Pak Hery menerangkan luwes  tidak kaku  dan agak mudah dipahami oleh saya sendiri ;positif
Interaksi dalam perkuliahan sangat interaktif dan inovasi pembelajaran yang beragam perkuliahan menjadi tidak membosankan;positif
akses ke pengetahuan mendalam  interaksi dengan dosen dan teman sekelas ;positif
Sebelum masuk ke materi inti dosen memberikan gambaran umum telebih dahulu jadi kita sebagai mahasiswa itu tau tentang apa yang akan dipelajari dan itu sangat membantu mahasiswa dalam pembelajaran;positif
Pada perkuliahan ini membuat saya merasa lumayan puas dengan ada perkuliahan secara teori dan praktek ;positif
"1.) Komunikasi yang interaktif; 2.) Presentasi yang menarik.";positif
Kelebihannya teori dan praktek selaras jadi teori yang masih kurang jelas bisa lebih jelas karna praktikum;positif
Dalam menjelaskan sering diberi gambarannya  sehingga lebih mudah dalam memahami materi yang disampaikan;positif
pak hery menyampaikan materi secara detail dan lumayan mudah di mengerti;positif
Dosen udah memberikan gambaran umum perkuliahan   jadi mudah untuk dipahami ;positif
Saya merasa puas karena metode belajarnya yang tidak berbelit Belit  tetapi tetap detail penjelasannya dan mudah dipahami  dan cara mengajar nya pun lebih ke arah mengajak;positif
Untuk materi mudah dipahami  penjelasannya sangat mudah ditangkap;positif
Saya sangat puas terhadap matkul ini. Dikarenakan saya lulusan TKJ  saya dapat mengikuti perkuliahan ini dengan sangat baik dan nyaman.;positif
 Menurut saya  kelebihan utama dalam perkuliahan ini yang membuat saya merasa puas adalah kesempatan untuk belajar dan mengembangkan diri;positif
Di praktikum  karna saat praktikum sy bisa lebih memahami materi dengan baik dan mudah;positif
metode pengajaran yang bervariatif seperti diskusi  games  kuis  dan praktikum. sehingga kami merasa tidak bosan dengan pengajaran yang diberikan. selain itu juga interaktif membuat kami tidak mengantuk;positif
Suka Dangan metode yang di ajarkan dengan cara dosen mempresentasikan menurut saya dapat membuat saya paham dengan materi yang di ajarkan ;positif
dosennya keren;positif
keketatan dalam tugas  penyampaian materi yang diberengi prektik.;positif
Menurut saya mata kuliah ini sangat bermanfaat untuk mengetahui tentang jaringan komputer dan matkul ini juga cukup menarik buat saya  dan juga dengan sistem peng abaenannya yang sangat unik sehingga meminimalisir kecurangan dalam masuk kuliah;positif
mmmmm menurut saya absensi yang masih menggunakan model lama dengan ttd dan tugas tertulis memberi kesan berbeda dari matkul yang lain;positif
pemberian materi dari dosen yang baik dengan memberikan penjelasan secara teori dan praktikum membuat saya lebih mudah dalam memahami materi yang diberikan;positif
Penjelasannya runtut  dijelaskan dengan bahasa yang mudah dipahami  ;positif
penjelasan yang mudah dipahami  dan mementingkan kepahaman mahasiswa itu sendiri;positif
Puas mudah dipahami  materinya ;positif
tugas tugas yang mendukung pemahaman materi;positif
 sangat mudah dipahami penjelasan dipelajaran teori dan seru dalam praktikumnya;positif
Tugasnya sedikit ?? lop banget  penyampaiannya santai dan jelas  materi mudah diserap dengan baik;positif
praktek langsungnya karena mudah dipahami;positif
menurut saya menggunakan metode tatap muka dan perkelompok membuat aktivitas di kelas lbh hidup;positif
Sebetulnya kelebihan pada matkul teorinya sudah merasakan puas namun untuk yang paktiknya belum dirasa puas.;positif
 pembelajaran terasa menyenangkan  santai  dan tidak terlalu tegang;positif
dosen tepat waktu dan juga cara pengajaran nya yang cukup baik dalam menjelaskan materi;positif
Menurut saya Metode pembelajaranya yang mudah dipahami ;positif
kelebihan utama dari perkuliahan ini adalah metode pembelajarannya yang interaktif;positif
Materi yang disampaikan dijelaskan secara jelas dan rinci serta lebih mudah dipahami;positif
Menurut saya kelebihan utama dalam perkuliahan ini adalah cara mengajar Pak Hery yang friendly dan menyenangkan  dan saya rasa perkuliahan seperti ini yang saya butuhkan.;positif
ya  saya puas dengan kelebihan diperkuliahan ini. karena dosen mengajar dengan mengajak mahasiswa. sehingga  mahasiswa paham akan materi yang diberikan dosen. ;positif
Saya merasa puas dengan cara pengajaran teori di matkul jaringan komputer  mudah dipahami dan tidak membosankan 9 dari 10;positif
Menurut saya Perkuliahan puas    karena metode yang bagus ;positif
Menurut saya yang menjadi kelebihan utama dalam perkuliahan dan merasakan puas adalah mendapatkan ilmu yang baru  wawasan menjadi lebih luas;positif
tergantung diri sendiri bisa menikmati atau engga  kalau saya sendiri lumayan suka dengan perkuliahan;positif
Menurut saya kalau untuk perkuliahan ini sangat memuaskan akan tetapi tidak dengan praktikumnya;positif
perkuliahan tidak boring  dari segi penyampaian materi mudah dipahami soalnya benar benar dari konsepannya. interaktif juga. adanya quiz saat kelas juga memberikan warna yang berbeda dibanding matkul lain  vibesnya jadi kaya bener bener kuliah;positif
dosennya enak. bisa d negosiasi/d ajak konpromi;positif
Karena materinya berbobot;positif
Asik sihh penuh coding dan berpikir mandiri menantang;positif
Menurut saya cukup bagus karena ini adalah perkuliahan yang meningkatkan skill mahasiswa dengan mempelajari ilmu dari pak heri;positif
Terdapat praktikum yang langsung base on project yang menjadikan kuliah lebih seru dan dapat di aplikasikan di real life;positif
Kelebihan perkuliahan semester ini yaitu pada jam perkuliahan yang menurut saya sudah sesuai dengan keinginan saya;positif
menurut saya  yang menjadi kelebihan utama dalam perkuliahan ini adalah tentang santainya kuliah ini berjalan sehingga mahasiswa pun tidak terasa tertekan;positif
Kelebihan utama dalam perkuliahan ini adalah dengan adanya sistem pembagian kelompok agar mahasiswa bisa lebih saling membantu untuk menyelesaikan tugas yang diberikan dosen;positif
Cara pengajarannya yang nyantai walau sekali ada tugas banyak banget dan aga susah tapi bagi saya tidak membuat mahasiswanya merasa tertekani  serta dalam pembahasan materinya selalu diberi contoh bagaimana caranya dan pengerjaannya;positif
Dosen menjelaskan materi sebelum mahasiswa di erikan tugas berupa diskusi  praktikum serta presentasi ;positif
Mengajarnya ada bahan candaan yang mana isi dari materinya cukup membosankan;positif
Dalam perkuliahan mataKuliah ini kita dituntut jadi creative dalam mengembangkan sistem;positif
perkuliahannya santai  materi dapat diterima dengan baik  tidak menekan mahasiswa;positif
kelebihan utama pada perkuliahan mata kuliah sistem paralel dan terdistribusi adalah adanya panduan belajar yang runtut dari nol hingga project akhir  hal ini menjadikan mahasiswa tidak kewalahan dalam mengikuti pembelajaran meskipun mahasiswa masih belajar dari nol.;positif
kelebihan utama dari perkuliahan ini adalah metode pembelajaran yang digunakan saya kira sangat efektif.;positif
Materi yang diajarkan berbobot dan terarah dengan metode pembelajaran yang tertata .;positif
Menurut saya  saya merasa puas di karenakan dapat mempelajari hal baru yang belum di ketahui;positif
Merasa puas karena dapat belajar codingan dari awal;positif
Selama perkuliahan berlangsung saya merasa nyaman dan juga paham materi yang telah diberika. Karena pak hery juga sebelum memberikan tugas pasti menjelaskan terlebih dahulu dan memberika video pembelajaran.;positif
Bisa menjadikan saya lebih mengetahui tentang codingan dan menghasilkan proyek-proyek baru.;positif
Dosennya jarang berangkat tetapi tugas nya banyak  kurang suka kelompokan;positif
Pada matakuliah ini kelebihannya yaitu tidak hanya sekedar pengetahuan teori saja namun dari bapak juga memberikan sebuah praktik langsung disetiap materinya  sehingga mampu memberikan pemahaman yang kompleks dengan ada nya praktik secara langsung  sehingga dari saya sendiri tidak hanya dapat mengetahui dari segi teori melainkan segi praktik juga. ini menurut saya menjadi kelebihan utama dan merasa puas pada matakuliah sitem paralel dan terdistribusi.;positif
Dosen menjelaskan terlebih dahulu ttg materi  beberapa kali disertai video pembelajaran yg bisa ditonton mhs berulang kali  kemudian memberikan tugas yg relevan kpd mhs secara individu maupun kelompok ;positif
saya merasa dalam perkuliahan sistem paralel dan terdistibusi kelebihannya adalah saya dapat mempelajari bagaimana kerjasama antar tim  tahu lebih mengenai socket  memecahkan suatu permasalahan;positif
Pak Hery jelasinnya santai tetapi tetap jelas materi yang disampaikan;positif
Dalam perkuliahan banyak materi dan praktikum yang dilakukan secara beriringan sehingga sedikit mudah dipahami ;positif
dalam penyampaian materi dari dosen yang menjelaskan degan rinci dan lumayan bisa di pahami;positif
Menurut saya kelebihan utama yang membuat saya merasa puas dalam perkuliahan ini yaitu cara penyampaian materi jelas dan mudah dipahami. Serta diberikan juga contoh-contoh prakteknya sehingga kami lebih memahami materi tersebut.;positif
Bisa belajar dan mengetahui mengenai suatu program dengan socket;positif
Dari penjelasan yang dijelaskan dalam perkuliahan ini membuat saya menjadi paham dengan materi materi yang disampaikan sehingga dengan mudah untuk dipahami dan mudah untuk mengerjakan tugas tugas yang diberikan ;positif
Perkuliahan dilakukan secara terprogram dan mempunyai target yang dicapai baik tiap pertemuannya maupun selama periode satu semester. ;positif
menurut saya kelebihan dalam perkuliahan ini cukup merasa puas;positif
Kelebihannya adalah jelas dan mudah dipahami apa yang dijelaskan sehingga mahasiswa tidak kebingungan dalam belajar;positif
Menurut saya kelebihan utama pada perkuliahan ini membuat saya merasa cukup puas;positif
menurut saya kelebihan dari matakuliah ini sendiri adalah adanya praktikum secara langsung yang membuat mahasiswa lebih mudah dalam memahami materi;positif
Karena pada perkuliahan ini mudah ketika penjelasan disampaikan oleh dosen;positif
Adanya materi yang terstruktur  dan dijelaskan kembali atau dipresentasikan di depan kelas;positif
Menurut aaya perkuliahan ini mempunyai kelebihan yaitu materi dan tugas dijelaskan dengan jelas baik secara waktu dan ketentuan. ;positif
waktu yang fleksibel dalam mengerjakan tugas dan perkuliahan ;positif
menurut saya kelebihannya yaitu dengan diberikan tugas yang berbobot daat meningkatkan skill dan wawasan mengenai sistem terdistribusi pararel;positif
Membuat mahasiswa terutama saya sendiri merasa harus belajar dengan lebih giat dan lebih sering mereview kembali materi yang pernah diajar.;positif
Kita sebagai mahasiswa dapat saling berkomunikasi dan memahami satu sama lain dengan baik saat di proses pembelajaran ;positif
Materi kuliah yang relevan dengan dunia kerja dan Interaksi antar mahasiswa yang aktif;positif
Diberikan penjelasan terlebih dahulu untuk projek*nya sebelum di beri tugas ;positif
dalam perkuliahan ini saya merasa  mudah memahami materi yang diajarkan  meskipun pada awalnya saya merasa kesulitan untuk mengimbangi teman yang lain;positif
Pembelajaran yang mudah dipahami  ditambah tugas untuk dikerjakan di rumah sekaligus dikasih tutorial dalam pengerjaanya ;positif
Cara menjelaskannya enak dan mudah di pahami apabila masih belum faham disediakan videonya diyoutube;positif
Kelebihan dalam perkuliahan ini adalah dosen datang tepat waktu dan selesai perkuliahan juga tepat waktu. Diberikan tutorial sebelum mengerjakan ;positif
Yg pertama adalah fasilitas yang memadai  gedung yang nyaman  layar proyektor yang lengkap  dosen yang rajin dan profesional  memperoleh teman yang hebat dan berprestasi seperti Khoirul Adib yang bisa mendapatkan beasiswa sampai ke Amerika Serikat.;positif
Materi yang dijelaskan dalam perkuliahan ini lumayan paham dipahami  walaupun saya pribadi lebih harus membutuhkan waktu yang agak lama dalam menangkap materi;positif
Perkuliahan materi disertai praktek dapat meningkatkan pemahaman mahasiswa terhadap materi Sistem Paralel dan Terdistribusi;positif
Menjadi tahu secara mendetail tentang seluk beluk kinerja aplikasi yang memiliki banyak user dan proses yang berjalan di atasnya;positif
Dalam perkuliahan ini saya merasa puas karena banyak project yang dikasih deadline mepet sehingga membuat kita lebih aktif dan semangat untuk belajar menyelesaikan tugas tersebut.;positif
Untuk kelebihan dari mata kuliah sister yang di ajarkan materinya terstruktur dan di sampaikan materi dari awal dan tidak ada materi yang di lompat sehingga membuat mahasiswa nyaman dalam belajar secra kbm maupun belajar sendiri ;positif
materi yang disampaikan diikuti langsung dengan penerapan dan prakteknya  jadi mahasiswa lebih paham dalam mencerna materi;positif
Materi yang disampaikan cukup menarik dan proses pembelajaran juga menarik;positif
kelebihan utamanya saya jadi tau tentang banyak hal dalam perkuliahan ini ;positif
Menurut saya perkuliahan ini membuat saya puas karena kita diberi kelonggaran untuk memahami materi dan bertanya atas apa yang telah disampaikan saat perkuliahan berlangsung dan saya lebih banyak mengetahui hal baru ;positif
Dosen nya santai dan menjelaskan nya secara dital jadi mudah di pahami;positif
Sangat menantang  membuat source code lalu mengujinya  memperbaiki jika ada error. Walau terkadang pusing setiap ada tugas ;positif
Penjelasan materi yang cukup untuk dipahami oleh saya. Bukan hanya dari materi yang di sampaikan namun dari saya bisa mengkases materi yang lelbih spesifik dari sumber yang di rekomemdasikan. ;positif
Menurut saya kelebihan utamanya yaitu pembelajaran yang tidak berpacu pada materi saja dan diimbangi dengan materi² yang berasalah dari luar;positif
menurut saya dalam perkuliahan ini materi yang disampaikan cukup baik dan terdapat tugas disetiap akhir materi yang membuat mahasiswa menjadi aktif dan paham;positif
Proses pembelajaran yang dua arah dimana mahasiswa melakukan praktekk secara langsung dan dievaluasi oleh dosen pengampu walaupun masih ada cukup banyak dosen yang menyampaikan materinya secara satu arah;positif
kelebihan utama dalam perkuliahan ini yang membuat merasa puas adalah ketika dosen menjelaskan materi dengan dangat rinci dengam cara yang mudah dipahami dan juga dosen tidak terlalu serius serta enjoy dalam menjelaskan materi sehingga suasana kelas tidak terlalu tegang.;positif
Pada perkuliahan ini  Sistem Paralel. Untuk penjelasan yang diberikan mudah dipahami. Walaupun sering ada laprak  tapi dengan mengerjakan laprak tersebut yang membuat saya sedikit paham akan mata kuliah nya.;positif
Perkuliahan yang mudah dipahami penjelasanya ketika dosennya masuk dan menjelaskan kepada mahasiswa;positif
jadi lebih tau tentang teknik dan lebih bisa belajar lebih dalam tentang teknik;positif
perkuliahan menarik  dosen sangat kompeten  ;positif
Belum dapat memahami beberapa materi perkuliahan;negatif
Terkadang bahasa yang disampaikan kurang begitu bisa di mengerti;negatif
Kekurangannya mungkin dari sisi jadwal perkuliahan karena jam siang pasti fokusnya sudah buyar;negatif
Menurut saya adalah dalam pembelajaran yang terlalu banyak menjelaskan sehingga mahasiswa itu bingung apa yang tadi dijelaskan ;negatif
Dalam perkuliahan ini yang menjadi kekurangan adalah meggunakan absensi manual yang masih bisa dicurangi;negatif
Metode yang kurang tepat bagi saya untuk bisa memahami materi.;negatif
Di saat praktikum kurang nya tempat yang nyaman dan fasilitas yang kurang ;negatif
Terkadang waktu memulai perkuliahan sedikit terlambat sehingga waktu untuk penjelasan materi berkurang;negatif
Karena pembelajaran ini cepat  jadi bagi orang yang memiliki sulit menangkap penjelasan agak kesulitan ;negatif
menurut saya kekurangan nya sih cuma sedikit boring  karena tidak ada icebreaking  atau terlalu serius  tpi hal itu tdk membuat kegiatan belajar terganggu  malah lebih melatih ke fokus kita  kalo kita fokus kita bakal faham tetapi kalau tidak ya di tanggung sendiri;negatif
materi yang di jelaskan dalam teori dan praktikum terkadang ada perbedaan atau mungkin ada kelupaan dalam menjelaskan.;negatif
untuk saat ini menurut saya perkuliahan sudah baik dan mungkin untuk kekurangan ada dibagian pemberitahuan yang mendadak dari asdos  mungkin untuk kedepannya bsa menjadi lebih baik lagi.;negatif
Waktunya kurang lama sehingga seperti tergesa gesa dalam penyampaian materi.;negatif
Kurang evaluasi saat setelah praktikum sehingga mahasiswa tidak tahu benar atau tidaknya saat mengerjakan praktikum;negatif
Kekurangan dalam perkuliahan ini adalah mungkin pak Hery bisa memberi penjelasan dengan bahasa yang lebih bisa dipahami oleh mahasiswa ;negatif
Dalam materi atau ppt yang diberikan kurang penjelasan yang membuat saya kurang terlalu paham ;negatif
Kelompok mendadak ataupun quiz mendadak menurut saya kurang efektif karena materi Yang Akan diuji kadang belum Kita pelajari ulang.;negatif
"Minimnya alat"" untuk praktikum yang terbatas sehingga kebanyakan mahasiswa yang harus membeli sendiri dan bergantian saat kegiatan praktikum secara langsung ";negatif
menurut saya selama ini yang membuat merasa kurang jika tiba tiba langsung dikasih tugas dan selesai hari itu juga tapi sebenernya gapapa tapi mendadak hehe;negatif
jam pembelajaran cenderung lebih dikit dari matkul lain dan penjelasan kadang kurang jelas ;negatif
Dalam perkuliahan teori saya merasa sejauh ini nyaman  namun mungkin kekurangannya materi yang disampaikan tidak langsung di share entah di whatsapp group maupun di e-learning. Jadi jika mahasiswa diberikan saat ada kuis terkesan ada yang belajar dadakan. Untuk praktikum  asisten dosen yang membuat pembelajaran menjadi kurang nyaman  dari jadwal yang harusnya sudah ditentukan tapi di ubah semaunya  dari yang sks harusnya 2 ini jad 4  menjelaskan juga tidak rinci  dan agak ribet. Mungkin bisa di ganti atau di evaluasi lagi pak hehe??;negatif
Kurangnya penjelasan atau evaluasi akhir dari hasil praktikum.. ;negatif
saya merasa masih kurang kekompakan antara mahasiswa  menurut saya alangkah baiknya jika siswa yang lebih memiliki banyak potensi mau dan suka berbagi ilmu dengan teman nya  karena saya rasa perkuliahan ini bukan bersaing untuk mencari siapa nilai tertinggi seperti di  SD  SMP & SMA;negatif
walaupun materi yang disampaikan sudah jelas tetapi seperti kurang pendekatan dengan mahasiswa;negatif
Kalau menurut saya itu   yang Modul laporan nya harus ambil ttd  jadi agak sulit ;negatif
Mungkin ada beberapa fasilitas yang belum di bilang akurat tapi masih bisa digunakan sebagai pembelajaran dasar jaringan komputer ;negatif
Menurut saya untuk kekurangannya itu adalah saat menjelaskan materi ada yg terlalu cepat ;negatif
Sejujurnya tidak ada kekurangan yang berdampak signifikan. Mungkin lebih ke kesediaan waktu pak Hery yang sekali-kali tidak dapat hadir di perkuliahan. Tapi saya dapat memaklumi hal tersebut dan memahami kesibukan beliau.;negatif
Menurut saya belum menemukan kekurangan dalam perkuliahan ini dan hanya menemukan presensi kehadiran yang berbeda ;negatif
Sedikit kekurangan yang saya rasakan yaitu ;negatif
Terkadang kurangnya antusiasme mahasiswa terhadap apa yang dipresentasikan dosen terkait materi karena mereka kesulitan memahami;negatif
Materi yang diberikan cukup banyak dan memang dalam matkulnya banyak penggunaan bahasa bahasa yang jarang digunakan sehingga lumayan butuh effort untuk memahami ;negatif
kelebihannya mendapatkan materi yang belum pernah saya pelajari sehingga menambah wawasan saya;negatif
Kekurangan bahasa dan masih asing mendengar istilah istilahnya;negatif
ada beberapa istilah baru yang tidak atau belum dijelaskan sehingga sedikit menghambat pemahaman. pada saat praktikum juga waktu masuknya sering telat karena kelas sebelumnya molor  sehingga waktu untuk praktikun tidak cukup.;negatif
Terkadang penjelasan suatu materi melompat jauh  tidak ramah pemula dan seperti menjelaskan kepada yang sudah paham. Namun itu hanya sekali overall masi banyak yang bisa dipahami;negatif
Materi yang diberikan dalam ppt hanya garis besar atau belum terperinci;negatif
penjelasan yang dilakukan kadang terlalu cepat sehingga menjadi tertinggal dan belum terlalu paham;negatif
Matkulnya sangat susah bagi saya orang awam yang belum punya basic/pengetahuan sama sekali tentang jaringan komputer  Terkadang dosen hanya berinteraksi kepada orang orang yang udah punya basic materi itu.. Jdi bagi orang² awam seperti pengen tahu  tapi ga ngerti apa yang dibahas antara dosen dan mahasiswa yang udah jago duluan.. ;negatif
menurut saya kekurangan utama dalam perkuliahan ini yang membuat saya kurang puas yaitu kurang bisa memahami materi;negatif
Sebenarnya tidak ada kekurangan dalam perkuliahan jaringan komputer  akan tetapi untuk penugasan terlalu sering ;negatif
penjelasan terlalu cepat sehingga sering ketinggalan apa yang dibahas/dijelaskan;negatif
Pada kuliah praktikum seringkali selesainya mepet untuk melaksanakan shalat jumat;negatif
Tugasnya sangat banyak tapi gapapa cukup membantu agar materi lebih dipahami lagi.;negatif
saya belum merasa ada kekurangan yang besar untuk mata kuliah ini selama setengah semester terakhir;negatif
waktu nya kurang   jadi materi yang sampaikan terkadang belum selesai dibahas ;negatif
Jam pembelajaran disiang hari membuat beberapa mahasiswa malas dan mengantuk  pembelajarannya masih fokus ke modul pada materi  teman-teman saya terkadang mengeluh karna lumayan sulit untuk dipahami ketika memperhatikan  apalagi yang tidak.;negatif
Karena lingkup jaringan komputer yang luas  banyak hal yang baru dan harus dipelajari membuat sedikit kesulitan apabila cara mengajar nya terlalu cepat dan kurang detail;negatif
selama setengah semester belum menemukan kekurangan yang mencolok dalam perkuliahan ini;negatif
Tugas kelompok untuk praktikum yang masih kurang kondusif mulai dari waktu yang mepet dan sebagainya;negatif
Terkadang cara penyampaian materi terlalu cepat  sehingga saya sedikit kesusahan untuk memahami  dan tertinggal;negatif
Dari saya hanya sedikit kurang paham dengan beberapa materi mungkin bisa lebih diperhatikan dari setiap individu nyaa;negatif
Terkadang merasa kurang paham materi yang diberikan  karena penjelasan cukup cepat sehingga kurang memahami dengan baik;negatif
tugasnya terlalu banyak dan jamnya matkulnya menurut saya kurang karena di Jaringan komunikasi itu banyak hal yang baru saya tau;negatif
Keterbatasan waktu serta penjelasan yang sangat cepat sedikit menjadi kendala dalam memahami materi;negatif
tergantung konteks dan pengalaman individu. ;negatif
mungkin terlalu berlebihan dalam memberikan tugas  selebihnya sudah cukup;negatif
Untuk kekurangan pada perkuliahan ini mungkin pada praktikumnya yang kurang dari segi waktu dan tempat;negatif
1.) Kurangnya kehadiran ;negatif
Kekurangan dalam perkuliahan ini adalah praktikum yang terkadang lebih dulu ketimbang teori;negatif
Materi gak langsung di share  terus masih kadang mau tanya masih agak ragu karna bahasanya masih beberapa asing;negatif
menyampaikan materi kadang terlalu cepat  tugas nya juga dateng tiap minggu dengan syarat yg alhamdulillah detail juga;negatif
Saya begitu kurang bisa menangkap atau memahami ketika metode pembelajarannya duduk biasa seperti dipertemukan 1-6  terkadang ketika dijelaskan saya asik main handphone dikarenakan kurang paham dan agak gimana gitu  beda halnya dengan pas pertemuan 7 yang disuruh kelompok dan duduknya bareng2 jadi kesannya lebih enak dan juga menyenangkan ;negatif
